Ticker,BEA,NAICS,Title
CHTP,325,325414,Chemical products
CHTR,513,515210,Broadcasting and telecommunications
CHUY,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
CI,524,524114,Insurance carriers and related activities
CIA,524,524113,Insurance carriers and related activities
CIDM,532RL,532282,Rental and leasing services and lessors of intangible assets
CIEN,334,334210,Computer and electronic products
CIM,525,525990,"Funds, trusts, and other financial vehicles"
CINF,524,524126,Insurance carriers and related activities
CIT,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CKH,483,483111,Water transportation
CKP,334,334290,Computer and electronic products
CL,325,325611,Chemical products
CLC,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
CLCT,311FT,312230,Food and beverage and tobacco products
CLD,212,212111,"Mining, except oil and gas"
CLDT,525,525990,"Funds, trusts, and other financial vehicles"
CLDX,325,325412,Chemical products
CLFD,334,334210,Computer and electronic products
CLGX,514,518210,"Data processing, internet publishing, and other information services"
CLI,525,525990,"Funds, trusts, and other financial vehicles"
CLMS,523,523110,"Securities, commodity contracts, and investments"
CLNE,22,221210,Utilities
CLNY,525,525990,"Funds, trusts, and other financial vehicles"
CLR,211,211120,Oil and gas extraction
CLUB,481,481219,Air transportation
CLVS,325,325412,Chemical products
CLW,322,322130,Paper products
CLX,325,325612,Chemical products
CMA,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CMC,324,324199,Petroleum and coal products
CMCO,333,333120,Machinery
CMCSA,513,515210,Broadcasting and telecommunications
CMCSK,513,515210,Broadcasting and telecommunications
CMG,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
CMLS,513,515111,Broadcasting and telecommunications
CMO,525,525990,"Funds, trusts, and other financial vehicles"
CMRX,325,325412,Chemical products
CMS,22,221111,Utilities
CMTL,334,334220,Computer and electronic products
CNA,524,524126,Insurance carriers and related activities
CNBKA,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CNC,524,524114,Insurance carriers and related activities
CNL,22,221111,Utilities
CNMD,334,334510,Computer and electronic products
CNO,524,524113,Insurance carriers and related activities
CNOB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CNP,22,221111,Utilities
CNQR,334,334614,Computer and electronic products
CNS,523,523920,"Securities, commodity contracts, and investments"
CNSL,513,517311,Broadcasting and telecommunications
CNVR,5412OP,541810,"Miscellaneous professional, scientific, and technical services"
CNW,484,484121,Truck transportation
CNX,211,211120,Oil and gas extraction
COB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
COBZ,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CODE,334,334413,Computer and electronic products
COF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
COG,211,211120,Oil and gas extraction
COHR,334,334516,Computer and electronic products
COHU,334,334514,Computer and electronic products
