ticker,pricetorevenue,marketcap
G,2.177068217,5431795811
GABC,7.08605,788313066.3
GAIA,9.8684125,155903503.6
GBCI,5.235593023,2106711318
GBLI,1.131768726,586258137.2
GBNK,3.926021318,379461324.1
GBX,0.364203101,1010333756
GCAP,0.729407722,318345953.6
GCI,0.544426744,1560915896
GCO,0.452218605,1351951844
GEF,0.4528,1534415795
GEO,1.78995814,3343199434
GERN,22.80555504,425484492.9
GFF,0.521379151,763295351.7
GGG,2.63663876,3398123480
GGP,11.70917984,26036968037
GHL,2.540737984,706749576.3
GILD,3.641600775,1.17961E+11
GIMO,5.542538372,1443875466
GLRE,3.578207364,769903750.1
GLT,0.546139535,899880863.5
GLW,2.702843411,24377106376
GM,0.365597287,49922411512
GME,0.318088372,2939497128
GMED,4.131839147,2281142703
GNE,0.794274517,162734242.1
GNRC,1.801629457,2416947865
GNTX,2.973834109,4776182315
GPC,0.94442093,14403027514
GPN,3.191890698,9195375464
GPS,0.628085271,9828481705
GRC,1.768706202,706584670.5
GRMN,2.92475969,8438777207
GRPN,0.828755426,2403317700
GRUB,6.510717054,2673402345
GS,2.482404264,74949033477
GSAT,16.57613023,1530711430
GSBC,3.103943798,577589310.1
GSIT,1.864858527,97395313.68
GT,0.501987209,8006363314
GTLS,0.847400388,814321617.9
GTN,1.216334496,802716788.4
GTS,0.192927132,579690972.1
GTT,1.615616667,726571844.3
GWR,1.806351163,3670838837
GWRE,10.08621163,4156189275
GXP,1.747112016,4483584492
H,1.510384884,6633050647
HA,1.043402326,2451277427
HAE,1.903347674,1719220796
HAFC,4.077755039,790123302.4
HALL,0.549964615,200895554.6
HAR,0.892577519,6079498683
HAS,2.187199225,10142623614
HASI,31.61094961,757791697.6
HBAN,2.781964729,8582962854
HBCP,2.802081467,193175688
HBHC,2.592639535,2281190774
HCA,0.689089147,30484968164
HCI,1.241363953,326754771.3
HCKT,1.823726641,498736812
HCOM,0.652003876,257919802.2
HCP,8.893789922,16022061363
HD,1.800502713,1.62935E+11
HDNG,0.45453166,138726384.6
HE,1.520834884,3345840967
HEI,2.004773643,2612145011
HELE,1.866544574,2638601939
HEOP,3.823898062,282697665.7
HF,2.085493023,1082644768
HFC,0.445470155,5276645428
HFWA,3.42931938,554353771.5
HHC,6.740291473,5771845302
HIG,1.112536047,17310573078
HIIQ,0.374881783,50837799.01
HIL,0.391912355,202967831.2
HIW,8.823159302,4848633814
HLF,0.270542248,1218710483
HMN,1.323543411,1431664076
HMST,1.1843,555993958.4
HMSY,3.03048062,1472126724
HMTV,4.048518992,535960608.6
HNI,0.886947287,2004466975
HNR,,16989866.57
HOG,1.515111628,9184838549
HOLX,3.74229186,10462465138
HOMB,9.477364341,4244754813
HON,2.206735659,86010162764
HOV,0.078706202,192427000.3
HP,3.445219767,6727107195
HPT,2.302743798,4213836400
HR,8.414828295,3334554236
HRC,1.44120814,3500077070
HRL,2.480546899,22967535735
HRS,1.960031395,10826299484
HRTG,1.069434109,439194402.5
HSIC,1.34220814,14730763263
HSII,0.693621318,394243196.9
HST,2.238394961,12217908438
HT,1.989513566,861882120.6
HTA,9.758099612,4094087245
HTBI,3.564419691,340542746.5
HTBK,3.653849807,345578473.2
HTH,1.311238372,2115965886
HTLD,2.274103488,1571116647
HTLF,2.22409186,829397587.6
HUBG,0.385697287,1345398088
HUM,0.490303101,26716746580
HURC,0.858841313,193964394.9
HURN,1.569401163,1240375015
HVT,0.276056757,224046251
HW,1.433515504,1357297219
HWCC,0.346588031,98220095.57
HXL,2.203564341,4226488081
HY,0.382018605,974786346.4
HZNP,3.315481783,2859832875
IART,6.177216667,5789323667
IBCP,2.974535659,345203802.8
IBKC,2.917345736,2500981371
IBKR,1.69557093,2388254577
IBOC,3.729162934,1885179555
IBTX,3.891617829,726043525
ICFI,0.693998062,801408141.6
ICUI,5.488712016,1970733623
IDA,2.998165116,3781447994
IDCC,4.991543023,2224398684
IDT,0.231603876,351938844.1
IDTI,4.323006202,3056666141
IDXX,5.15684845,8626056023
IEX,3.190036047,6528451279
IHC,0.692944574,296465430.3
III,0.665930502,141426307.5
IIVI,1.704320155,1382531762
ILMN,9.836313566,22482128302
IMMR,3.874246512,232971368.3
INCY,17.93573992,16051447812
INDB,4.475928682,1337650631
INFI,1.462885659,168119800
INFN,1.803956589,1690138640
INGN,5.971694186,1053198250
INN,2.176738372,1102101435
INSY,3.582068992,1123192510
INT,0.114332946,3154639283
INTC,2.872755039,1.62542E+11
INTU,6.073303101,27965736880
INVN,1.83574845,710297597.2
INWK,0.538901163,453679789.8
IP,0.904236434,18090509438
IPAR,1.953071318,943921839.6
IPCC,0.613894574,905044495.1
IPG,1.216668217,9367979872
IPGP,5.085603488,4691427636
IPHI,7.423671318,1498460201
IPXL,2.589824031,1994588277
IQNT,2.079771705,614826776.6
IR,1.264034109,16907493915
IRDM,2.269860853,960682130.8
IRET,5.400739922,796555821.7
IRM,2.570185659,8043617604
ISBC,5.709015504,3702911072
ISCA,2.418284496,1581576285
ISIL,4.244674031,2217491950
ISLE,0.748320155,719176400
ISRG,14.6312907,36769934312
ISRL,3.745523846,243180340.9
ISSC,2.058873462,49260783.94
IT,3.411529457,7773278062
ITG,1.000589147,599729193.4
ITIC,1.558882946,195737901.2
ITRI,0.917281395,1797819966
ITT,1.283823256,3202400543
IVR,26.58340415,1610776681
IVZ,2.559955426,12460425279
IXYS,1.144536047,362661527.4
JACK,1.882236434,2941415998
JAKK,0.294382558,214116466.8
JBHT,1.488679457,9411201792
JBL,0.22637619,4154680357
JBLU,1.003184496,6531118847
JCOM,4.239105426,3285732209
JJSF,2.170505039,2149622878
JKHY,4.995777132,6686410898
JLL,83.17470736,5108715857
JNJ,4.495585271,3.17803E+11
JNS,2.589429457,2571593403
JOE,13.39426473,1361439758
JONE,0.893313127,130179172.2
JOUT,0.645440927,284845589.3
JPM,2.603297287,2.44044E+11
JWN,0.613723256,8876418163
KBH,0.42302093,1384973864
KCG,0.924749612,1201701959
KELYA,0.131296899,723088651.2
KEY,2.600640698,11287633318
KFRC,0.391511628,518300660.5
KFY,1.049146124,1407335283
KIM,12.10621008,11733440231
KLAC,3.83004031,11252476224
KMI,3.081991473,42493371783
KMPR,0.721302317,1765392800
KNX,3.790500775,4354150134
KODK,0.323953876,571395600.8
KRA,0.595278682,785971610.7
KRC,10.08340814,6038290590
KRG,6.389993411,2240789768
KRNY,10.23049767,887025152.3
KS,0.528172481,1580129614
KSU,4.023725194,9540202858
KVHI,0.773193798,142912412.8
L,1.100502326,13885051463
LADR,2.844027907,743026524.6
LAMR,4.305291473,6082023789
LAZ,2.118301938,4795760609
LB,1.793529457,21966814302
LBAI,3.537741085,526285473.9
LBTYA,1.711118605,15578758279
LCI,1.864447287,940376959.6
LCNB,3.516420155,175969477.1
LDL,1.344112016,720468393.7
LDOS,0.702839394,3902455426
LDR,2.510556977,378122251.4
LE,0.439340698,613040518.4
LEA,0.464742248,8557660928
LEE,0.194038372,120964334.2
LFUS,3.039181395,2789466979
LFVN,0.740394595,149682779.3
LGIH,,630930101.2
LGND,28.09833915,2378553891
LH,1.383922093,12782083376
LHCG,0.814893023,699544370.2
LHO,2.409779845,2846266700
LII,1.799074806,6331236279
LION,1.921030233,448990879.3
LIOX,0.508953101,284519088.8
LKFN,7.727186434,1094432083
LLL,1.050216667,10930624155
LLTC,8.74035969,12568859213
LLY,3.980448062,81180655337
LM,1.083444186,3339687977
LMNX,3.529355039,872023960.9
LMOS,1.514805426,311420151
LNC,0.838459302,11028149660
LNCE,1.620881395,2918508564
LNDC,0.637127132,327459733.1
LNN,1.54004186,800684762.6
LNT,4.643534109,15048582329
LOCK,2.346706977,1466184981
